#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,7.746397E-05,1237648721767628958,16.65186,16.98182,16.64801,16.70974,1.119157,0.5801477,1.259635,-0.2692836,-0.5348592,-0.531922,-0.1141823,-0.01823216,2.536075,6,6
STAR,3.036891E-05,1237648721767694587,19.47483,19.81299,19.46932,19.53165,1.244695,0.625029,1.355561,-0.1013084,-0.1018648,-0.1020792,-0.106871,-0.08019163,3.037502,6,6
STAR,0.000217964,1237648721767759952,17.46722,17.79626,17.47438,17.5263,1.121145,0.5787979,1.260965,-0.5816324,-0.6721109,-0.670399,-0.06875892,-0.003042391,2.554179,6,6
STAR,0.0002228259,1237648721767890985,16.35395,16.68006,16.34693,16.4049,1.153412,0.5954513,1.292248,-0.2393041,-0.4533393,-0.461183,-0.09702644,-0.008194837,2.681678,6,6
STAR,0.0002170799,1237648720712171592,16.55035,16.86506,16.55557,16.59156,1.313305,0.6769364,1.432633,-3.861258,-5.415463,-5.417555,-0.03554375,-0.0868975,3.757699,6,6
STAR,-5.851216E-06,1237648721768874298,18.04209,18.36285,18.04245,18.09879,1.104136,0.5709089,1.209954,-0.004104661,-0.01820879,-0.01827988,-0.1466236,-0.02124445,2.535715,6,6
STAR,7.72111E-05,1237648721769136287,18.27654,18.58825,18.27279,18.31132,1.131649,0.5807194,1.273915,-0.3702639,-0.01822879,-0.01811135,-0.1394907,-0.03058982,2.59037,6,6
STAR,-0.0003673598,1237648722835210244,15.59211,15.90884,15.57732,15.62332,1.402209,0.7244982,1.539586,-72.3544,-61.0344,-60.95697,-0.186615,-0.03240135,4.337123,6,6
STAR,0.0002226478,1237648721771298822,16.28692,16.60876,16.29174,16.34615,1.107253,0.5744867,1.231527,-1.495896,-1.157882,-1.139586,-0.1229177,-0.03395547,2.560147,6,6
STAR,0.0003607355,1237648721223221469,19.34485,19.68509,19.34581,19.39705,1.123448,0.5933341,1.411801,-1.136577,-1.431185,-1.441656,-0.08051649,-0.04601702,2.63076,6,6
STAR,0.000375421,1237648720668656759,19.73655,20.04688,19.73853,19.78149,1.507762,0.7526374,1.738379,-0.008839385,-0.02701817,-0.02701212,0.07877077,-0.1103641,4.325372,6,6
STAR,0.0005247997,1237648720668852859,19.28341,19.61523,19.27225,19.34144,1.151588,0.5781941,1.251456,-0.1076285,-0.160353,-0.1600544,0.03653321,-0.04685962,2.575358,6,6
STAR,0.0005023856,1237648721223483519,17.73617,18.056,17.72436,17.76262,1.175846,0.6037912,1.376808,-8.928631,-7.693944,-7.674423,-0.0383828,-0.05154269,2.68583,6,6
STAR,0.0005156122,1237648721226563745,16.13153,16.45862,16.12453,16.17539,1.177062,0.606133,1.326371,-27.15816,-22.35635,-22.50706,-0.09559771,-0.0433813,2.761429,6,6
STAR,-0.0001883836,1237648721227284578,18.24574,18.56839,18.24918,18.30584,1.063751,0.5473648,1.179711,-0.237999,-0.4721303,-0.4672928,-0.1213612,-0.02711781,2.241395,6,6
STAR,0.0003678382,1237648721746723059,18.82419,19.16135,18.82597,18.88571,1.114558,0.568656,1.267141,-0.2165488,-0.3745683,-0.3740153,-0.08507028,-0.02447351,2.395977,6,6
STAR,0.0003667555,1237648720670556669,19.43485,19.76144,19.43538,19.48189,1.089194,0.5744478,1.323344,-0.1064659,-0.1844053,-0.1831752,0.004594027,-0.08780695,2.476858,6,6
STAR,0.0001422978,1237648721228595262,16.8443,17.1838,16.83207,16.89155,1.242239,0.6346036,1.41253,-2.689177,-1.237342,-1.236658,-0.1192205,-0.04302218,3.037297,6,6
STAR,0.0004988621,1237648720674030027,21.10975,21.37218,20.99565,21.10686,1.401996,0.6390428,1.303441,-0.2473273,-0.1729826,-0.1120825,0.1336479,-0.1082375,3.236259,6,6
STAR,0.0005164634,1237648721230102572,17.59421,17.9081,17.56743,17.61834,1.187771,0.6100003,1.339471,-16.02026,-2.163388,-2.299089,-0.09722822,-0.0290838,2.822961,6,6
STAR,8.819163E-05,1237648721230561400,16.14666,16.4524,16.11997,16.17135,1.16826,0.6108648,1.302694,-150.6206,-116.2603,-118.1831,0.007825139,-0.03542969,2.947271,6,6
STAR,-1.785576E-05,1237648721749540896,18.89505,19.22786,18.87909,18.92803,1.265597,0.6480473,1.473586,-0.3014387,-0.09002639,-0.0896637,-0.09590128,-0.04834186,3.179432,6,6
STAR,1.764432E-05,1237648721749542153,21.41124,21.69528,21.31974,21.38366,1.420987,0.6999004,1.532843,-0.1971835,-0.2326157,-0.2219955,-0.0967029,-0.08137412,3.929386,6,6
STAR,0.0004961571,1237648721750261873,20.1334,20.22665,20.16297,20.36001,1.270238,0.6277371,1.232338,-2.018213,-2.646825,-2.65049,-0.0401649,-0.1709581,3.28733,6,6
STAR,0.0005126994,1237648722284773481,17.13996,17.45401,17.12822,17.17721,1.15536,0.5929397,1.292671,-3.827652,-2.669057,-2.650082,-0.1138371,-0.00634318,2.694572,6,6
STAR,0.0005209015,1237648720680255519,16.2957,16.63153,16.28315,16.3329,1.335503,0.6812404,1.483083,-33.04423,-24.80809,-24.95058,-0.01751319,-0.08342577,3.617238,6,6
STAR,0.0001390862,1237646586640270718,19.51382,19.82234,19.49846,19.53461,1.010068,0.5185752,1.250765,-0.8500152,-1.015152,-1.011647,-0.1159088,-0.02895982,1.694439,6,6
STAR,0.0003601367,1237648722284970533,20.79769,21.15065,20.79966,20.91624,1.011883,0.5828049,1.210093,-0.05092841,-0.0960553,-0.09622162,-0.09455003,-0.05772154,2.781829,6,6
